x L' D B' R' B D M D' B' R B D' R  (13sq) 
x L' D B' M' F' D' M D F M B D' R  (13sq) 
x' R' M F R' D F M F' D' L M D' R  (13sq) 
x L' D L' M' D F M F' D' L M D' R  (13sq) 
x L' D' B M' F' D M D' F M B' D R  (13sq) 
x L' D' B' M' F' D M D' F M B D R  (13sq) 
x' R' R' M' F' M' M' F M' F' M' F L R  (13sq) 
x L' L' M F' M' M' F M' F' M' F L R  (13sq) 
x L' L' M' F' M' F M' M' F' M F L R  (13sq) 
x' R' R' M F' M' F M' M' F' M F L R  (13sq) 
x' R' R' M' F M F M' M' F M F L R  (13sq) 
x L' L' M F M F M' M' F M F L R  (13sq) 
x L' L' D R' B D M D' B' R D' L R  (13sq) 
x L' L' D M' F' D' M D F M D' L R  (13sq) 
x L' L' D' M' F' D M D' F M D L R  (13sq) 
x' U' U' M U' R' M F U' M U F' L F'  (13sq) 
x' M' M' U R' M F' M U M' U' F L F'  (13sq) 
x D' D' M D' L' D F' M F D' R M' F'  (13sq) 
x M' M' D L' D' M F M' F' D R M' F'  (13sq) 
x' M U L' U B' M B U' L' L' R' M F'  (13sq) 
x D' F' D M' D' R M' F M' F' L' U F  (13sq) 
x D' F' D' M' D R M' F M' F' L' U F  (13sq) 
x' U' B' U M' U' L U M' U' R' M U F  (13sq) 
x' U' B' U' M' U L U M' U' R' M U F  (13sq) 
x L' M F' M F R F' M F M' F' M' F  (13sq) 
x' M' F L M F' R D' M' D R' F R' D'  (13sq) 
x' M' F R U' L M D' M' D R' F R' D'  (13sq) 
x M' B R D' R B' M' B L' M' F R' D'  (13sq) 
x M B L' M' B R' D M D' R B' R D'  (13sq) 
x M B R' U L' M' D M D' R B' R D'  (13sq) 
x' M F R' D R' F M F' L M B' R D'  (13sq) 
x B' B' L' F M F' M F M' F' R D' D'  (13sq) 
x M' B R D' R B' M' B R' D L' M' D'  (13sq) 
x' M F R' D R' F M F' R D' L M D'  (13sq) 
x R M' U' M' U' M' U M U' M' U' U' L'  (13sq) 
x R U M U' M' U M' U M' M' U' U' L'  (13sq) 
x R U' M' M' U' M' U M' U' M U' U' L'  (13sq) 
x R U M U' M' M' U' M U' M U' U' L'  (13sq) 
x F U M' U' U' M' U F' R U M' U' L'  (13sq) 
x U F' M' F' F' M' F' U' R U M' U' L'  (13sq) 
x R U' R B' M' B M B' M B R' U L'  (13sq) 
x R U' L' B M' B' M B M B' L U L'  (13sq) 
x R U' M' U M U' M' U M' U' M' U L'  (13sq) 
x R U' M U M' U' M U M U' M' U L'  (13sq) 
x R U' M' U' M U M' U' M' U M' U L'  (13sq) 
x R U' M U' M' U M U' M U M' U L'  (13sq) 
x' L M U R' M F U' M U F' L F' L'  (13sq) 
x R M F L' F' M U M' U' F L F' L'  (13sq) 
x L M D L' D F' M F D' R M' F' L'  (13sq) 
x R F R' M D F' M F D' R M' F' L'  (13sq) 
x R M' F M' U' F' M' M' F U M F' L'  (13sq) 
x R U' M' M' U F M' U' M' U M F' L'  (13sq) 
x' L D M B' M' F M D' M U M F' L'  (13sq) 
x M F' M F R F' M F M' F' M' F L'  (13sq) 
x R M' F' M' U' F M' M' F' U M F L'  (13sq) 
x R U' M' M' U F' M' U' M' U M F L'  (13sq) 
x R D R' B R' D M D' R B' R D' L'  (13sq) 
x L R F L' F U' M U F' L F' L' L'  (13sq) 
x R M B M U' B' M B M' U M' B' L'  (13sq) 
x R M B' M U' B M B' M' U M' B L'  (13sq) 
x' R' U' M U' M U M' M' U' M' U' U' L  (13sq) 
