x' U B U R' M U M' U' R M' U' B' U'  (13sq) 
x' U B R D' L B' M' B L' D R' B' U'  (13sq) 
x' U B L U L' B M' B' L U' L' B' U'  (13sq) 
x' U B L' U L' B M' B' L U' L B' U'  (13sq) 
x' M U B L' B M' B' B' M' B L B' U'  (13sq) 
x' U B M B' L U' M' U L' B M' B' U'  (13sq) 
x' M U B M U M' U' U' M' U M' B' U'  (13sq) 
x' M U B' L' B M' B' B' M' B L B U'  (13sq) 
x' U L U' M U L' B M' B' B' M' B U'  (13sq) 
x' M U B' M U M' U' U' M' U M' B U'  (13sq) 
