x F R' F' M F R F'  (7sq*) 
x2 F R' F' U' F M F' U F L D' M  (12sq) 
B D L' M' F' M F R F' M' D' M  (12sq) 
x2 F U R' U' M U L M F' M' D' M  (12sq) 
x2 F' L U R' U' M U R U' R' D M  (12sq) 
x2 F' R' F U' F' M F U F' L D M  (12sq) 
x2 F' R' F' U' F M F' U F L D M  (12sq) 
B' D L' M' F' M F R F' M' D M  (12sq) 
x2 F' U R' U' M U L M F' M' D M  (12sq) 
x F U F' L' U' M U' B' U' B L U' U'  (13sq) 
x R' F' U F U' M U' R B U' B' U' U'  (13sq) 
x M' M' U' U' B L' B M' B' L B' U' U'  (13sq) 
x M' U' U' M' B L' B M' B' L B' U' U'  (13sq) 
x U' U' M' M' B L' B M' B' L B' U' U'  (13sq) 
x M U' U' M B L' B M' B' L B' U' U'  (13sq) 
x' R F L' U' M' F' F' L' U' R B U' U'  (13sq) 
x M' U' U' B U' B M' B' U B' M' U' U'  (13sq) 
x U' U' M' B U' B M' B' U B' M' U' U'  (13sq) 
x M' U' U' B' U' B' M' B U B M' U' U'  (13sq) 
x U' U' M' B' U' B' M' B U B M' U' U'  (13sq) 
x M' M' F M F' U' F M' F' U' M' U' U'  (13sq) 
x M' M' F' M F U' F' M' F U' M' U' U'  (13sq) 
x M U' B U B M B' U' B' U' M' U' U'  (13sq) 
x M' U' B U B' M' B U' B' U' M' U' U'  (13sq) 
x M' U' B' U B M' B' U' B U' M' U' U'  (13sq) 
x M U' B' U B' M B U' B U' M' U' U'  (13sq) 
x M' F U' F M' F' U F' U' U' M' U' U'  (13sq) 
x M' F U' F' M' F U F' U' U' M' U' U'  (13sq) 
x M' F' U' F M' F' U F U' U' M' U' U'  (13sq) 
x M' F' U' F' M' F U F U' U' M' U' U'  (13sq) 
x F R' F' M' F R F' M' U' U' M' U' U'  (13sq) 
x M' B M' B' U' B M B' M' U' M' U' U'  (13sq) 
x M' B' M' B U' B' M B M' U' M' U' U'  (13sq) 
x U' F U F M' F' U' F' M' U' M' U' U'  (13sq) 
