x R' D M D M' M' D' M' D' L' R' R' M'  (13sq) 
x' L D L D M' B' M B D' L' D' R' M'  (13sq) 
x' L M D L D' B M' B' D L' D' R' M'  (13sq) 
x R B R M' D' B M' B' D L' D' R' M'  (13sq) 
x' R F L F' D M' D' F R' M D' R' M'  (13sq) 
x' L M B D' R D M' D' R' D B' R' M'  (13sq) 
x' R D F' L M D M' D' R' D B' R' M'  (13sq) 
x R U B' R B M' B' L' M' D B' R' M'  (13sq) 
x' M' B M' B' L U' M U' U' M U' R' M'  (13sq) 
x' L M U M' B' U M' U' B M U' R' M'  (13sq) 
x' L M U' M' B' U' M' U B M U R' M'  (13sq) 
