x2 U' F' M' F U2 F2 M F' M' F' U2 M' U  (13s) 
x2 U' M' D R' D' M2 D2 M' D' R D' M2 U  (13s) 
x2 D2 F U' M2 U2 M U' F' U' M D2 M2 U  (13s) 
x R F M F' U2 F' M2 F U2 L' U' M2 U  (13s) 
x R U2 F M F' U2 F' M2 F L' U' M2 U  (13s) 
x2 U' M' U F U M' U2 M2 U F' U' M2 U  (13s) 
x2 M U F U' M U' M U2 M F' U2 M2 U  (13s) 
x2 M U F U M U M U2 M F' U2 M2 U  (13s) 
x2 M U F U M U' M F2 M F U2 M2 U  (13s) 
x2 M U F U' M U M F2 M F U2 M2 U  (13s) 
x2 U' M' U' F U' M' U2 M2 U' F' U M2 U  (13s) 
x2 U' B R2 B M' U2 M2 U2 B' R2 B' M U  (13s) 
x2 U' B R2 B M' D2 M2 D2 B' R2 B' M U  (13s) 
x2 U' B R2 F2 B M2 F2 M' B' R2 B' M U  (13s) 
D' F L2 M2 B' M2 B2 M' B' R2 B' M U  (13s) 
x2 U' B R2 F2 B' M' F2 M2 B R2 B' M U  (13s) 
x2 M2 U' B R2 B M B2 M2 B R2 B' M U  (13s) 
D' F R2 F' M2 F2 M' F' L2 M2 B' M U  (13s) 
x2 F U M2 F2 M F2 U' F M2 F2 U' M U  (13s) 
x2 F U B2 M B2 M2 U' F M2 F2 U' M U  (13s) 
x2 F U' M2 F2 M F2 U F M2 F2 U' M U  (13s) 
x2 F U' B2 M B2 M2 U F M2 F2 U' M U  (13s) 
x2 D2 F U M2 B2 M' B2 U' F' D2 U' M U  (13s) 
x2 D2 F U F2 M' F2 M2 U' F' D2 U' M U  (13s) 
x2 D2 F U' M2 B2 M' B2 U F' D2 U' M U  (13s) 
x2 D2 F U' F2 M' F2 M2 U F' D2 U' M U  (13s) 
x2 M' F U M2 F2 M F2 U' F' M' U' M U  (13s) 
x2 M F U M2 B2 M' B2 U' F' M' U' M U  (13s) 
x2 M' F U B2 M B2 M2 U' F' M' U' M U  (13s) 
x2 M F U F2 M' F2 M2 U' F' M' U' M U  (13s) 
x2 M' F U' M2 F2 M F2 U F' M' U' M U  (13s) 
x2 M F U' M2 B2 M' B2 U F' M' U' M U  (13s) 
x2 M' F U' B2 M B2 M2 U F' M' U' M U  (13s) 
x2 M F U' F2 M' F2 M2 U F' M' U' M U  (13s) 
x2 U B R2 B' M2 B2 M' B' R2 B' U2 M U  (13s) 
x2 U F D2 F M' F2 M2 F D2 F' U2 M U  (13s) 
x2 U' F D2 F M' B2 M2 F' B2 D2 F' M U  (13s) 
x2 U' F D2 F' M2 B2 M' F B2 D2 F' M U  (13s) 
x2 U' F D2 F U2 M2 U2 M' F' D2 F' M U  (13s) 
x2 U' F D2 F D2 M2 D2 M' F' D2 F' M U  (13s) 
x2 M2 U' F D2 F' M2 F2 M F' D2 F' M U  (13s) 
x2 U F' M' F' M' F2 M2 U2 F' M F M U  (13s) 
x2 U F' M' F M2 U2 F2 M' F M F M U  (13s) 
x2 U' D' R' D M2 B2 M' B2 D' R D M U  (13s) 
x2 U' D' R' D F2 M' F2 M2 D' R D M U  (13s) 
x2 U' D' R' D' M2 B2 M' B2 D R D M U  (13s) 
x2 U' D' R' D' F2 M' F2 M2 D R D M U  (13s) 
D' M D L M B L F2 M2 F2 R' U' R'  (13s) 
x2 U' M U R U R M' F2 M2 F2 R' U' R'  (13s) 
x' B' M B R B L2 F2 M2 F2 L' R' U' R'  (13s) 
x' B' M B R B L2 B2 M2 B2 L' R' U' R'  (13s) 
x' B' M B R B L' F2 M2 F2 L2 R' U' R'  (13s) 
x' B' M B R B L' B2 M2 B2 L2 R' U' R'  (13s) 
D' M D L M B L B2 M2 B2 R' U' R'  (13s) 
x2 U' M U R U R M' B2 M2 B2 R' U' R'  (13s) 
x' B' M B R B L R F2 M2 F2 R2 U' R'  (13s) 
x2 U' M U R U R2 M' F2 M2 F2 R2 U' R'  (13s) 
D' M D R D L2 M F2 M2 F2 R2 U' R'  (13s) 
x' B' M B R B R F2 M2 F2 L R2 U' R'  (13s) 
x' B' M B R B R B2 M2 B2 L R2 U' R'  (13s) 
x' B' M B R B L R B2 M2 B2 R2 U' R'  (13s) 
x2 U' M U R U R2 M' B2 M2 B2 R2 U' R'  (13s) 
D' M D R D L2 M B2 M2 B2 R2 U' R'  (13s) 
x M2 F' M F R F L' U2 M2 U2 R U' R'  (13s) 
x' B' M B R B L R2 F2 M2 F2 R U' R'  (13s) 
x2 U' M U R U R' M' F2 M2 F2 R U' R'  (13s) 
x F' M F R F L' M2 F2 M2 F2 R U' R'  (13s) 
x M2 F' M F R F L' D2 M2 D2 R U' R'  (13s) 
x' B' M B R B R2 F2 M2 F2 L R U' R'  (13s) 
x' B' M B R B R2 B2 M2 B2 L R U' R'  (13s) 
x' B' M B R B L R2 B2 M2 B2 R U' R'  (13s) 
x2 U' M U R U R' M' B2 M2 B2 R U' R'  (13s) 
x F' M F R F L' M2 B2 M2 B2 R U' R'  (13s) 
x2 U M' U2 M2 U R U M2 F2 M' F2 U' R'  (13s) 
x F' M F L' R2 M' U M' F2 M2 F2 U' R'  (13s) 
D' M D L2 R' M2 U M' F2 M2 F2 U' R'  (13s) 
x2 U' M U R U M' D2 F2 M2 F2 D2 U' R'  (13s) 
x2 U' M U R U M' D2 B2 M2 B2 D2 U' R'  (13s) 
x2 U B2 M B2 U' R U M2 D2 M' D2 U' R'  (13s) 
x2 U' F2 M F2 U R U M2 D2 M' D2 U' R'  (13s) 
x2 U D2 M' U' D2 R U M D2 M2 D2 U' R'  (13s) 
x2 U2 M2 U M U R U M D2 M2 D2 U' R'  (13s) 
x' M2 B' M B L M U M D2 M2 D2 U' R'  (13s) 
x' B' M B L M D2 U' M' U2 M2 D2 U' R'  (13s) 
x M2 F' M F R F R U2 M2 U2 L' U' R'  (13s) 
x' B' M B R B L2 R' F2 M2 F2 L' U' R'  (13s) 
x2 U' M U R U L M' F2 M2 F2 L' U' R'  (13s) 
x F' M F R F R M2 F2 M2 F2 L' U' R'  (13s) 
x M2 F' M F R F R D2 M2 D2 L' U' R'  (13s) 
x' B' M B R B L2 R' B2 M2 B2 L' U' R'  (13s) 
x2 U' M U R U L M' B2 M2 B2 L' U' R'  (13s) 
x F' M F R F R M2 B2 M2 B2 L' U' R'  (13s) 
x' B' M B R B L' R' F2 M2 F2 L2 U' R'  (13s) 
x2 U' M U R U L2 M' F2 M2 F2 L2 U' R'  (13s) 
D' M D R D R2 M F2 M2 F2 L2 U' R'  (13s) 
x' B' M B R B L' R' B2 M2 B2 L2 U' R'  (13s) 
x2 U' M U R U L2 M' B2 M2 B2 L2 U' R'  (13s) 
D' M D R D R2 M B2 M2 B2 L2 U' R'  (13s) 
D' M D L M B R' F2 M2 F2 L U' R'  (13s) 
x2 U' M U R U L' M' F2 M2 F2 L U' R'  (13s) 
D' M D L M B R' B2 M2 B2 L U' R'  (13s) 
x2 U' M U R U L' M' B2 M2 B2 L U' R'  (13s) 
x2 U' M U R U' M' U2 M' B2 M' B2 U' R'  (13s) 
x2 R U B' M' B' M B' M' B M' B2 U' R'  (13s) 
x F' M F L' R2 M' U M' B2 M2 B2 U' R'  (13s) 
D' M D L2 R' M2 U M' B2 M2 B2 U' R'  (13s) 
x2 U' M U R U' M U2 M' B2 M B2 U' R'  (13s) 
x2 U' M2 U2 M U' R U M2 B2 M B2 U' R'  (13s) 
x2 U' M U R U F2 D2 M2 D2 F2 M' U' R'  (13s) 
x2 U' M U R U F2 U2 M2 U2 F2 M' U' R'  (13s) 
x2 M2 U' M U R U M2 F2 M2 F2 M' U' R'  (13s) 
x2 U' M U R U R D2 M2 D2 R' M' U' R'  (13s) 
x2 U' M U R U R U2 M2 U2 R' M' U' R'  (13s) 
x2 U' M U R U R2 D2 M2 D2 R2 M' U' R'  (13s) 
x2 U' M U R U R2 U2 M2 U2 R2 M' U' R'  (13s) 
x2 U' M U R U R' D2 M2 D2 R M' U' R'  (13s) 
x2 U' M U R U R' U2 M2 U2 R M' U' R'  (13s) 
x F' M F L' R2 M' D2 U M2 D2 M' U' R'  (13s) 
D' M D L2 R' M2 D2 U M2 D2 M' U' R'  (13s) 
x2 U' M U R U B2 D2 M2 D2 B2 M' U' R'  (13s) 
